date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:33	12117/12117	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/add-labels.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/add-labels.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:34	17241/17241	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/grid-pane-layout.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/grid-pane-layout.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:34	4138/4138	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/root-layout-size.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/root-layout-size.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:34	7556/7556	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/scene-builder-preview.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/scene-builder-preview.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:34	1436/1436	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/menu-bar.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/menu-bar.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:34	13101/13101	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/new-root-layout.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/new-root-layout.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:37	17884/17884	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/new-main-class.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/new-main-class.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:37	10501/10501	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part2/addressapp-part2.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part2/addressapp-part2.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part2/)
17:47:37	16058/16058	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/new-main-class2.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/new-main-class2.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:37	18075/18075	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/javafx-hierarchy.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/javafx-hierarchy.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:37	7872/7872	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part2/set-controller-class.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part2/set-controller-class.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part2/)
17:47:37	3001/3001	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part2/set-tableview-fx-id.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part2/set-tableview-fx-id.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part2/)
